test_core_reloc_enumval	72	license+raw_tracepoint	core
test_sysctl_prog	72	cgroup+license	-
btf_dump_test_case_namespacing	73		-
btf_type_tag_percpu	73	fentry+license+tp_btf	vmlinux
for_each_array_map_elem	73	.maps+license+tc	maps,vmlinux,iters
map_in_map_btf	73	.maps+fentry+license	maps,vmlinux,spinlock
task_work_stress	73	.maps+license+syscall	maps,vmlinux,atomics
test_legacy_printk	73	.maps+license+tp	maps
test_sysctl_loop1	73	cgroup+license	-
uprobe_syscall_executed	73	license+uprobe+uprobe.multi+uprobe.session+uretprobe+uretprobe.multi+usdt	vmlinux
bpf_qdisc_dynptr_use_after_invalidate_clone	74	.struct_ops+license+struct_ops	vmlinux
tcp_ca_update	74	.struct_ops+.struct_ops.link+license+struct_ops	-
test_core_reloc_mods	74	license+raw_tracepoint	core
test_log_fixup	74	.maps+license+raw_tp	maps,core,bpf2bpf,kfunc
timer_mim_reject	74	.maps+fentry+license	maps,timer
iters_css	75	fentry.s+license	vmlinux,kfunc,iters
struct_ops_assoc_reuse	75	.struct_ops.link+license+struct_ops+syscall	vmlinux
stacktrace_ips	76	.maps+fentry+fexit+kprobe+kprobe.multi+license+raw_tp	stacktrace,maps,vmlinux
test_map_lookup_percpu_elem	76	.maps+license+tp	maps,vmlinux,iters
struct_ops_assoc_in_timer	77	.maps+.struct_ops.link+license+struct_ops+syscall	maps,vmlinux,bpf2bpf,timer
test_core_reloc_size	77	license+raw_tracepoint	core
test_snprintf	77	license+raw_tp	kfunc
test_task_under_cgroup	77	license+lsm.s+tp_btf	vmlinux,kfunc
bpf_iter_udp6	78	iter+license	vmlinux
summarization	78	license+tc+uprobe.s	vmlinux,bpf2bpf
tailcall_bpf2bpf4	78	.maps+license+tc	maps,bpf2bpf,tailcall
test_core_reloc_existence	78	license+raw_tracepoint	core
verifier_value_adj_spill	78	.maps+license+socket	maps
type_cast	79	.maps+license+tc+tp_btf+tracepoint+xdp	maps,core,vmlinux,cast_kfunc
fexit_test	80	fexit+license	-
task_ls_recursion	80	.maps+fentry+license+tp_btf	maps,vmlinux
free_timer	81	.maps+license+syscall	maps,iters,timer
epilogue_exit	82	.struct_ops.link+license+struct_ops+syscall	vmlinux
bloom_filter_map	83	.maps+fentry+license	maps,iters
tailcall_bpf2bpf_hierarchy2	83	.maps+license+tc	maps,bpf2bpf,tailcall
task_local_storage	83	.maps+fexit+license+tp_btf	maps,vmlinux,atomics
